,host_response_rate,host_acceptance_rate,host_listings_count,accommodates,room_type,bedrooms,bathrooms,beds,price,cleaning_fee,security_deposit,minimum_nights,maximum_nights,number_of_reviews,latitude,longitude,city,zipcode,state
631,100%,,3.0,2,Private room,1.0,1.0,1.0,50.0,$22.00,,1,1125,66,42.27738,-71.14357,Boston,02132,MA
632,,,1.0,5,Entire home/apt,3.0,2.0,3.0,450.0,,$300.00,91,1125,1,42.3452,-71.07951,Boston,02116,MA
633,100%,,3.0,4,Private room,2.0,1.0,2.0,100.0,$33.00,,1,1125,131,42.27701,-71.14533,Boston,02132,MA
634,82%,,21.0,2,Entire home/apt,1.0,1.0,1.0,185.0,$60.00,$0.00,91,1125,23,42.34547,-71.07881,Boston,02116,MA
635,,,1.0,6,Entire home/apt,3.0,1.0,3.0,175.0,,,91,1125,3,42.365429999999996,-71.05219,Boston,02113,MA
636,,,2.0,4,Entire home/apt,2.0,1.0,2.0,150.0,,,91,1125,1,42.3064,-71.10594,Boston,02130,MA
637,,,2.0,2,Private room,1.0,1.0,1.0,100.0,,,91,1125,1,42.30571,-71.10566999999999,Boston,02130,MA
638,80%,,1.0,2,Private room,1.0,1.0,1.0,70.0,$5.00,$0.00,91,1125,267,42.37914,-71.03956,Boston,02128,MA
639,,,1.0,2,Private room,1.0,1.0,1.0,90.0,,,91,1125,1,42.35076,-71.09526,Boston,02215,MA
640,,,1.0,4,Entire home/apt,2.0,1.0,2.0,190.0,$100.00,,91,1125,0,42.37645,-71.06508000000001,Charlestown,02129,MA
641,,,1.0,1,Shared room,1.0,1.0,1.0,28.0,,,91,1125,11,42.3338,-71.09617,Boston,02120,MA
642,92%,,25.0,3,Entire home/apt,1.0,1.0,1.0,289.0,$100.00,$0.00,9,1125,36,42.34585,-71.08827,Boston,02215,MA
643,,,1.0,5,Entire home/apt,1.0,1.0,2.0,159.0,,,91,1125,2,42.35192,-71.07941,Boston,02116,MA
644,100%,,6.0,4,Private room,1.0,1.0,2.0,75.0,$30.00,$250.00,1,14,174,42.28905,-71.06321,Boston,02124,MA
645,100%,,6.0,8,Private room,2.0,1.0,4.0,99.0,$60.00,$500.00,1,30,27,42.29034,-71.0632,Boston,02124,MA
646,100%,,6.0,3,Private room,1.0,1.0,1.0,64.0,$30.00,$250.00,1,20,230,42.28924,-71.06152,Boston,02124,MA
647,100%,,6.0,2,Private room,1.0,1.0,1.0,59.0,$30.00,$250.00,1,14,200,42.28881,-71.06141,Boston,02124,MA
648,99%,,21.0,2,Private room,1.0,1.0,1.0,99.0,$60.00,$0.00,1,1125,160,42.3625,-71.07070999999999,Boston,02114,MA
649,96%,,95.0,2,Private room,1.0,1.0,1.0,144.0,$0.00,$0.00,29,1124,5,42.34332,-71.05738000000001,Boston,02127,MA
650,,,1.0,2,Private room,1.0,1.0,1.0,80.0,,,91,1125,0,42.323240000000006,-71.11357,Boston,02130,MA
651,92%,,25.0,2,Entire home/apt,1.0,1.0,1.0,289.0,$100.00,$0.00,9,1125,39,42.34622,-71.08846,Boston,02215,MA
652,,,1.0,1,Entire home/apt,1.0,1.0,1.0,159.0,$25.00,$200.00,91,1125,0,42.35805,-71.07133,Boston,02114,MA
653,100%,,2.0,4,Entire home/apt,2.0,2.5,3.0,210.0,$250.00,"$2,000.00",30,365,0,42.33361,-71.07907,Boston,02118,MA
654,,,1.0,2,Entire home/apt,1.0,1.0,1.0,150.0,,,91,1125,4,42.35265,-71.07565,Boston,02116,MA
655,100%,,25.0,1,Private room,1.0,1.0,1.0,35.0,$50.00,$500.00,30,190,13,42.30327,-71.07204,Boston,02121,MA
656,100%,,25.0,1,Private room,1.0,1.0,1.0,38.0,$50.00,$500.00,30,190,13,42.288509999999995,-71.06963,Boston,02124,MA
657,60%,,1.0,2,Private room,1.0,1.0,2.0,39.0,$25.00,,91,1125,198,42.33589,-71.14895,Boston,02135,MA
658,100%,,1.0,2,Entire home/apt,0.0,1.0,1.0,199.0,$40.00,$150.00,32,95,117,42.35131,-71.08268000000001,Boston,02116,MA
659,100%,,1.0,4,Entire home/apt,2.0,1.0,2.0,195.0,$50.00,$250.00,29,365,166,42.34568,-71.06943000000001,Boston,02118,MA
660,,,1.0,2,Entire home/apt,1.0,1.0,1.0,70.0,$10.00,,91,1125,2,42.365829999999995,-71.03529,Boston,,MA
661,,,,2,Entire home/apt,0.0,1.0,2.0,79.0,$99.00,$0.00,180,1124,87,42.35105,-71.13384,Boston,02134,MA
662,100%,,1.0,2,Private room,1.0,1.0,1.0,80.0,$36.00,$0.00,91,365,71,42.33,-71.1122,Boston,02130,MA
663,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$50.00,,91,1125,125,42.36399,-71.05488000000001,Boston,02113,MA
664,82%,,21.0,2,Entire home/apt,1.0,1.0,1.0,289.0,$60.00,$0.00,91,1125,107,42.357440000000004,-71.06903,Boston,02108,MA
665,,,5.0,2,Private room,1.0,2.0,1.0,50.0,$30.00,$0.00,91,1125,1,42.36031,-71.13410999999999,Boston,02134,MA
666,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$30.00,$0.00,4,200,49,42.37395,-71.06128000000001,Boston,02129,MA
667,,,1.0,6,Entire home/apt,2.0,1.0,2.0,192.0,$60.00,,91,1125,0,42.35047,-71.09723000000001,Brookline,02446,MA
668,,,1.0,2,Shared room,1.0,1.5,1.0,77.0,,,91,1125,2,42.346509999999995,-71.07337,Boston,02116,MA
669,,,1.0,2,Entire home/apt,1.0,1.0,1.0,159.0,$60.00,,91,1125,10,42.33716,-71.07516,Boston,02118,MA
670,100%,,1.0,2,Private room,1.0,1.0,1.0,50.0,$20.00,$100.00,91,1125,94,42.30337,-71.11501,Boston,02130,MA
671,99%,,678.0,3,Entire home/apt,1.0,3.0,2.0,219.0,$100.00,,9,1125,0,42.34594,-71.0797,Boston,02116,MA
672,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,209.0,$100.00,,9,1125,0,42.351459999999996,-71.05931,Boston,02111,MA
673,0%,,1.0,6,Entire home/apt,2.0,2.0,2.0,150.0,$50.00,,91,1125,29,42.33093,-71.04146,Boston,02127,MA
674,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,245.0,$100.00,,9,1125,0,42.3648,-71.0701,Boston,02114,MA
675,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,195.0,$100.00,,9,1125,0,42.3648,-71.06865,Boston,02114,MA
676,100%,,6.0,4,Private room,1.0,1.0,2.0,67.0,$30.00,$250.00,1,14,178,42.28971,-71.0614,Boston,02124,MA
677,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,139.0,$100.00,,3,1125,2,42.35207,-71.06194,Boston,02116,MA
678,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,134.0,$100.00,,3,1125,1,42.35161,-71.06155,Boston,02116,MA
679,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,130.0,$100.00,,3,1125,2,42.352140000000006,-71.06352,Boston,02116,MA
680,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,179.0,$100.00,,3,1125,2,42.35151,-71.06334,Boston,02116,MA
681,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,175.0,$100.00,,3,1125,5,42.35091,-71.06198,Boston,02116,MA
682,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,189.0,$100.00,,3,1125,2,42.35132,-71.06269,Boston,02116,MA
683,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,129.0,$100.00,,9,1125,3,42.36523,-71.0678,Boston,02114,MA
684,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,125.0,$100.00,,3,1125,2,42.36319,-71.06911,Boston,02114,MA
685,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,179.0,$100.00,,9,1125,0,42.36547,-71.06891999999999,Boston,02114,MA
686,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,175.0,$100.00,,9,1125,0,42.36486,-71.06715,Boston,02114,MA
687,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,174.0,$100.00,,3,1125,6,42.364670000000004,-71.06942,Boston,02114,MA
688,,,1.0,2,Entire home/apt,1.0,1.0,1.0,119.0,$85.00,$0.00,91,1124,6,42.35015,-71.12885,Boston,02134,MA
689,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$50.00,$250.00,4,30,39,42.37045,-71.04026,Boston,02128,MA
690,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,135.0,$100.00,,9,1125,0,42.35224,-71.06351,Boston,02111,MA
691,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,189.0,$100.00,,91,1125,0,42.35282,-71.0629,Boston,02111,MA
692,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,133.0,$100.00,,9,1125,0,42.36481,-71.06893000000001,Boston,02114,MA
693,100%,,1.0,5,Entire home/apt,2.0,1.0,0.0,200.0,$50.00,$500.00,2,1125,171,42.36667,-71.05643,Boston,02113,MA
694,100%,,2.0,1,Private room,1.0,2.5,1.0,80.0,$100.00,$600.00,30,365,3,42.33328,-71.07828,Boston,02118,MA
695,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,139.0,$100.00,,28,1125,2,42.34388,-71.10161,Boston,02215,MA
696,100%,,2.0,8,Entire home/apt,4.0,2.0,6.0,250.0,$125.00,,6,1125,9,42.38092,-71.06756,Boston,02129,MA
697,100%,,1.0,2,Private room,1.0,1.0,1.0,70.0,$10.00,,1,2,19,42.28924,-71.14156,Boston,02131,MA
698,100%,,1.0,5,Entire home/apt,2.0,1.0,3.0,200.0,$200.00,$0.00,30,365,43,42.31308,-71.10512,Boston,02130,MA
699,100%,,3.0,6,Entire home/apt,3.0,2.0,3.0,250.0,$100.00,$250.00,91,1125,18,42.37695,-71.03023,Boston,02128,MA
700,100%,,2.0,5,Entire home/apt,3.0,1.0,3.0,84.0,$50.00,,91,1125,104,42.31499,-71.06664,Boston,02121,MA
701,82%,,21.0,2,Entire home/apt,0.0,1.0,1.0,219.0,$40.00,$0.00,91,1125,102,42.34342,-71.07952,Boston,02118,MA
702,82%,,21.0,4,Entire home/apt,1.0,1.0,1.0,229.0,$60.00,$0.00,91,1125,66,42.34407,-71.07785,Boston,02118,MA
703,82%,,21.0,2,Entire home/apt,0.0,1.0,1.0,209.0,$40.00,$0.00,91,1125,163,42.35722,-71.0705,Boston,02108,MA
704,90%,,1.0,6,Entire home/apt,2.0,1.0,4.0,167.0,$100.00,$0.00,4,1125,30,42.30751,-71.11272,Boston,02130,MA
705,100%,,4.0,1,Private room,1.0,1.0,1.0,34.0,,,90,1125,12,42.34595,-71.1549,Boston,02135,MA
706,100%,,25.0,4,Entire home/apt,4.0,1.0,4.0,115.0,$200.00,"$1,000.00",30,1125,3,42.29885,-71.06201,Boston,02125,MA
707,75%,,2.0,2,Private room,1.0,2.0,1.0,75.0,$45.00,$0.00,91,1125,24,42.315509999999996,-71.10158,Boston,02130,MA
708,100%,,1.0,4,Entire home/apt,1.0,1.0,1.0,166.0,$115.00,$0.00,2,1125,19,42.34595,-71.07249,Boston,02116,MA
709,100%,,1.0,5,Entire home/apt,3.0,1.5,3.0,249.0,$85.00,$250.00,3,10,25,42.3159,-71.10746,Boston,02130,MA
710,100%,,2.0,6,Entire home/apt,3.0,1.0,3.0,84.0,$50.00,,91,1125,3,42.31139,-71.06891999999999,Boston,02121,MA
711,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,134.0,$60.00,$250.00,8,180,51,42.32738,-71.09470999999999,Boston,02119,MA
712,100%,,2.0,4,Entire home/apt,2.0,1.0,2.0,245.0,$95.00,"$1,000.00",28,365,65,42.34,-71.15352,Boston,02135,MA
713,100%,,2.0,6,Entire home/apt,4.0,4.5,4.0,850.0,$300.00,"$1,000.00",4,1124,55,42.36077,-71.06445,Boston,02114,MA
714,,,1.0,2,Private room,1.0,1.0,1.0,120.0,,,91,1125,1,42.35029,-71.08606999999999,Boston,02115,MA
715,,,1.0,4,Entire home/apt,2.0,1.0,2.0,125.0,$15.00,,30,90,1,42.36568,-71.05666,Boston,02113,MA
716,,,1.0,1,Entire home/apt,1.0,2.0,1.0,59.0,,,91,1125,0,42.3324,-71.10240999999999,Boston,02120,MA
717,100%,,32.0,4,Entire home/apt,0.0,1.0,2.0,85.0,$100.00,$500.00,28,1124,44,42.34212,-71.15439,Boston,02115,MA
718,,,1.0,2,Entire home/apt,1.0,1.5,1.0,500.0,,,91,1125,0,42.33569,-71.04772,Boston,02127,MA
719,100%,,2.0,3,Entire home/apt,0.0,1.0,2.0,141.0,$30.00,,1,31,325,42.35772,-71.06629000000001,Boston,02114,MA
720,100%,,21.0,3,Entire home/apt,1.0,1.0,1.0,195.0,$85.00,$375.00,2,75,228,42.363820000000004,-71.05278,Boston,02109,MA
721,,,1.0,2,Entire home/apt,1.0,1.0,1.0,95.0,$20.00,,91,1125,14,42.346270000000004,-71.10432,Boston,02215,MA
722,100%,,25.0,1,Private room,1.0,1.0,1.0,37.0,$50.00,$500.00,30,1124,9,42.30462,-71.07083,Boston,02121,MA
723,,,1.0,2,Private room,1.0,1.0,1.0,90.0,$25.00,$200.00,91,1125,1,42.35208,-71.06282,Boston,,MA
724,,,1.0,1,Private room,1.0,1.0,1.0,30.0,,,91,1125,0,42.32977,-71.10300000000001,Boston,02120,MA
725,,,1.0,8,Entire home/apt,3.0,1.0,5.0,299.0,$125.00,$500.00,2,180,32,42.342420000000004,-71.13229,Brookline,02446,MA
726,,,4.0,3,Entire home/apt,1.0,1.0,2.0,179.0,$100.00,$200.00,91,1125,34,42.36078,-71.06493,Boston,02114,MA
727,100%,,1.0,6,Entire home/apt,2.0,2.0,2.0,149.0,$45.00,$200.00,3,1125,8,42.31005,-71.10712,Boston,02130,MA
728,100%,,25.0,1,Private room,1.0,1.0,1.0,35.0,$50.00,$500.00,30,190,11,42.3042,-71.07118,Boston,02121,MA
729,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,250.0,$85.00,$250.00,60,160,17,42.34819,-71.04915,Boston,02210,MA
730,92%,,25.0,3,Entire home/apt,1.0,1.0,1.0,289.0,$100.00,$0.00,9,1125,45,42.34771,-71.09006,Boston,02215,MA
731,100%,,2.0,2,Entire home/apt,1.0,1.0,0.0,197.0,$35.00,$150.00,32,95,148,42.35143,-71.08809000000001,Boston,02215,MA
732,100%,,4.0,4,Entire home/apt,1.0,1.0,2.0,260.0,$90.00,$299.00,91,1125,180,42.33828,-71.05227,Boston,02127,MA
733,99%,,21.0,2,Private room,1.0,1.0,1.0,99.0,$60.00,$0.00,1,1125,108,42.36158,-71.06925,Boston,02114,MA
734,100%,,3.0,2,Private room,1.0,1.0,0.0,125.0,,,2,7,133,42.33591,-71.05537,Boston,02127,MA
735,,,2.0,4,Entire home/apt,2.0,1.0,2.0,75.0,,$100.00,91,1125,0,42.35273,-71.12065,Boston,02215,MA
736,,,2.0,2,Private room,1.0,1.0,1.0,50.0,,,91,1125,1,42.35268,-71.12125,Boston,02215,MA
737,,,1.0,4,Entire home/apt,2.0,1.0,2.0,200.0,$25.00,,91,1125,13,42.32173,-71.11187,Boston,02130,MA
738,100%,,12.0,2,Private room,1.0,1.0,1.0,75.0,$40.00,$150.00,91,300,27,42.29368,-71.06385,Boston,02124,MA
739,,,1.0,2,Private room,1.0,1.0,2.0,298.0,$24.00,,91,1125,2,42.3498,-71.09535,Boston,02215,MA
740,100%,,1.0,2,Private room,1.0,1.0,1.0,105.0,$30.00,$0.00,1,1125,146,42.3663,-71.03801,Boston,02128,MA
741,100%,,4.0,4,Entire home/apt,2.0,1.0,2.0,160.0,$95.00,,2,1125,188,42.3414,-71.08422,Boston,02115,MA
742,,,1.0,1,Private room,1.0,1.5,1.0,49.0,,$500.00,91,1125,12,42.30956,-71.08709,Boston,02121,MA
743,100%,,2.0,6,Entire home/apt,2.0,1.0,2.0,189.0,,$300.00,2,30,210,42.32333,-71.09584,Boston,02119,MA
744,100%,,2.0,5,Private room,2.0,1.0,4.0,199.0,,,1,30,163,42.31779,-71.1049,Boston,02130,MA
745,100%,,25.0,1,Private room,1.0,1.0,1.0,65.0,$50.00,$500.00,30,1124,7,42.290729999999996,-71.06456,Boston,02124,MA
746,100%,,7.0,4,Entire home/apt,1.0,1.0,1.0,77.0,$60.00,$500.00,29,1125,124,42.3403,-71.15079,Boston,02135,MA
747,100%,,1.0,1,Entire home/apt,0.0,1.0,0.0,200.0,$85.00,$500.00,2,31,17,42.3422,-71.07944,Boston,02118,MA
748,100%,,15.0,10,Entire home/apt,3.0,2.5,3.0,350.0,$250.00,$0.00,1,15,275,42.35076,-71.06585,Boston,02116,MA
749,100%,,4.0,1,Private room,1.0,1.0,1.0,34.0,,,60,1125,11,42.34359,-71.15507,Brighton,02135,MA
750,100%,,3.0,2,Private room,1.0,1.5,1.0,105.0,$25.00,$100.00,3,30,243,42.366659999999996,-71.05315999999999,Boston,02109,MA
751,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,133.0,$100.00,,9,1125,0,42.35232,-71.06203000000001,Boston,02116,MA
752,,,1.0,4,Entire home/apt,2.0,2.0,1.0,220.0,,,91,1125,0,42.35117,-71.06203000000001,Boston,02111,MA
753,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,179.0,$100.00,,3,1125,5,42.35102,-71.06291,Boston,02116,MA
754,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,189.0,$100.00,,9,1125,14,42.35157,-71.06289,Boston,02116,MA
755,,,1.0,2,Private room,1.0,1.0,1.0,44.0,$17.00,$166.00,91,1125,1,42.353159999999995,-71.14656,Boston,02135,MA
756,100%,,5.0,5,Entire home/apt,2.0,1.0,4.0,75.0,$40.00,$125.00,1,1125,159,42.27081,-71.0794,Boston,02126,MA
757,,,1.0,4,Entire home/apt,1.0,1.0,1.0,135.0,$20.00,,91,1125,7,42.34942,-71.06341,Boston,02111,MA
758,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,186.0,$100.00,,9,1125,3,42.36551,-71.06818,Boston,02114,MA
759,100%,,21.0,3,Entire home/apt,1.0,1.0,1.0,195.0,$80.00,$450.00,2,75,155,42.350120000000004,-71.09,Boston,02115,MA
760,100%,,25.0,1,Private room,1.0,1.0,1.0,30.0,$50.00,$500.00,30,1124,10,42.304390000000005,-71.07061999999999,Boston,02121,MA
761,100%,,12.0,2,Private room,1.0,1.0,1.0,90.0,$40.00,$150.00,28,365,14,42.29197,-71.06409000000001,Boston,02124,MA
762,,,1.0,2,Private room,1.0,1.0,1.0,100.0,$0.00,$0.00,91,1125,3,42.280120000000004,-71.13271,Boston,02131,MA
763,100%,,25.0,1,Private room,1.0,1.0,1.0,34.0,$50.00,$500.00,30,1125,6,42.28825,-71.06668,Boston,02124,MA
764,,,1.0,4,Entire home/apt,2.0,2.0,3.0,175.0,$100.00,$0.00,91,1125,0,42.31176,-71.11184,Boston,02130,MA
765,100%,,2.0,5,Entire home/apt,2.0,1.0,3.0,132.0,$75.00,$350.00,91,99,147,42.31086,-71.09921999999999,Boston,02130,MA
766,,,1.0,3,Entire home/apt,1.0,1.0,1.0,450.0,,,91,1125,0,42.35218,-71.08103,Boston,02116,MA
767,89%,,5.0,6,Entire home/apt,2.0,1.0,2.0,65.0,$75.00,,90,1125,0,42.27983,-71.09528,Boston,02126,MA
768,,,1.0,2,Private room,1.0,1.0,1.0,250.0,,,91,1125,0,42.35581,-71.06129,Boston,02111,MA
769,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,128.0,$100.00,,28,1125,1,42.34474,-71.0997,Boston,02215,MA
770,99%,,678.0,5,Entire home/apt,2.0,2.0,3.0,179.0,$100.00,,28,1125,5,42.34523,-71.10038,Boston,02215,MA
771,,,1.0,1,Entire home/apt,0.0,1.0,1.0,100.0,,,91,1125,40,42.34981,-71.13209,Boston,02134,MA
772,,,1.0,2,Private room,1.0,1.0,1.0,55.0,$30.00,$200.00,91,1125,0,42.340790000000005,-71.15366999999999,Boston,02135,MA
773,,,1.0,2,Entire home/apt,0.0,1.0,2.0,329.0,$120.00,$900.00,91,1125,0,42.35307,-71.08224,Boston,02116,MA
774,,,1.0,1,Private room,1.0,1.0,1.0,49.0,$10.00,$100.00,91,1125,6,42.33865,-71.14778000000001,Boston,02135,MA
775,100%,,1.0,2,Entire home/apt,1.0,1.0,0.0,200.0,$25.00,$0.00,1,1125,377,42.3652,-71.05823000000001,Boston,02113,MA
776,100%,,26.0,2,Entire home/apt,0.0,1.0,0.0,180.0,$115.00,$0.00,3,45,36,42.34382,-71.07536999999999,Boston,02116,MA
777,100%,,26.0,4,Entire home/apt,1.0,1.0,2.0,198.0,$145.00,$0.00,3,45,31,42.345079999999996,-71.0774,Boston,02116,MA
778,,,1.0,6,Entire home/apt,2.0,1.0,1.0,45.0,,,91,1125,0,42.36254,-71.05373,Boston,02109,MA
779,100%,,1.0,2,Private room,1.0,1.0,1.0,129.0,$39.00,$119.00,91,91,222,42.33975,-71.079,Boston,02118,MA
780,,,1.0,1,Private room,1.0,2.0,1.0,55.0,$15.00,,91,1125,3,42.33289,-71.10862,Boston,02120,MA
781,100%,,4.0,1,Private room,1.0,1.0,1.0,33.0,,,90,1125,13,42.34568,-71.1529,Boston,02135,MA
782,91%,,30.0,1,Private room,1.0,1.0,1.0,36.0,$40.00,$300.00,29,1124,9,42.304759999999995,-71.07168,Boston,02121,MA
783,100%,,1.0,2,Entire home/apt,1.0,1.0,2.0,159.0,$50.00,$0.00,91,1125,70,42.36893,-71.0419,Boston,02128,MA
784,100%,,2.0,4,Entire home/apt,0.0,1.0,1.0,139.0,$30.00,$0.00,91,1125,192,42.32808,-71.0962,Boston,02119,MA
785,,,1.0,1,Shared room,1.0,1.0,1.0,750.0,,,91,1125,0,42.347159999999995,-71.08932,Boston,02215,MA
786,50%,,2.0,1,Private room,1.0,2.0,1.0,50.0,$40.00,,91,190,16,42.31644,-71.09391,Boston,02119,MA
787,100%,,15.0,5,Entire home/apt,2.0,1.0,2.0,150.0,$50.00,$0.00,28,1125,63,42.38323,-71.07733,Boston,02129,MA
788,,,2.0,4,Entire home/apt,2.0,1.0,2.0,250.0,,$500.00,91,1125,11,42.36432,-71.06108,Boston,02114,MA
789,99%,,678.0,3,Entire home/apt,1.0,1.0,2.0,136.0,$100.00,,3,1125,0,42.35113,-71.06138,Boston,02116,MA
790,99%,,678.0,5,Entire home/apt,2.0,1.5,3.0,182.0,$100.00,,3,1125,12,42.352109999999996,-71.06347,Boston,02116,MA
791,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,220.0,$50.00,$200.00,5,120,26,42.33652,-71.0697,Boston,02118,MA
792,96%,,9.0,2,Private room,1.0,1.0,1.0,69.0,$40.00,$0.00,2,90,166,42.35942,-71.12733,Boston,02134,MA
793,,,1.0,4,Entire home/apt,2.0,2.0,2.0,281.0,$83.00,$200.00,91,1125,12,42.35392,-71.07567,Boston,02116,MA
794,,,1.0,2,Private room,1.0,1.0,1.0,60.0,$20.00,,91,1125,0,42.33909,-71.07901,Boston,02118,MA
795,100%,,1.0,3,Entire home/apt,0.0,1.0,2.0,125.0,$25.00,,91,1125,44,42.28389,-71.13141,Boston,02131,MA
796,,,1.0,2,Private room,1.0,1.0,1.0,65.0,$5.00,,91,1125,11,42.33084,-71.05246,Boston,02127,MA
797,,,1.0,2,Entire home/apt,1.0,1.0,1.0,175.0,,$100.00,91,1125,3,42.36555,-71.05452,Boston,02113,MA
798,100%,,1.0,5,Entire home/apt,2.0,2.0,2.0,160.0,$50.00,$200.00,2,30,20,42.32052,-71.10588,Boston,02130,MA
799,100%,,1.0,4,Entire home/apt,2.0,1.0,2.0,249.0,$90.00,$200.00,2,90,105,42.34619,-71.08887,Boston,02115,MA
800,100%,,1.0,2,Entire home/apt,0.0,1.0,1.0,99.0,$35.00,,2,1125,69,42.31446,-71.11392,Boston,02130,MA
801,100%,,1.0,2,Entire home/apt,1.0,1.5,0.0,150.0,$65.00,,2,1125,174,42.33659,-71.07603,Boston,02118,MA
802,,,2.0,1,Private room,4.0,1.0,1.0,50.0,,,91,1125,11,42.35239,-71.16201,Boston,02135,MA
803,100%,,3.0,1,Private room,1.0,1.0,1.0,50.0,$20.00,$0.00,2,1125,258,42.31262,-71.10621,Boston,02130,MA
804,100%,,2.0,6,Entire home/apt,2.0,1.0,3.0,239.0,$80.00,$300.00,28,1125,23,42.31642,-71.10503,Boston,02130,MA
805,100%,,127.0,2,Entire home/apt,1.0,1.0,2.0,219.0,,,91,1125,5,42.358509999999995,-71.05719,Boston,02109,MA
806,100%,,127.0,2,Entire home/apt,1.0,1.0,2.0,239.0,,,91,1125,2,42.35157,-71.05931,Boston,02111,MA
807,100%,,6.0,2,Private room,1.0,1.5,1.0,55.0,$20.00,$100.00,1,1125,41,42.27516,-71.07661999999999,Boston,02126,MA
808,,,2.0,2,Private room,1.0,1.0,1.0,65.0,,,91,1125,12,42.32136,-71.11323,Boston,02130,MA
809,91%,,30.0,1,Private room,1.0,1.0,1.0,37.0,$40.00,$300.00,91,999,9,42.30567,-71.07321999999999,Boston,02121,MA
810,94%,,7.0,3,Entire home/apt,1.0,1.0,1.0,375.0,$100.00,$0.00,10,1125,26,42.34753,-71.08894000000001,Boston,02215,MA
811,100%,,6.0,2,Private room,1.0,1.5,1.0,125.0,$65.00,$200.00,1,1125,31,42.33832,-71.07691,Boston,02118,MA
812,,,1.0,4,Entire home/apt,1.0,1.0,2.0,120.0,$60.00,,91,99,9,42.364540000000005,-71.11838,Boston,02163,MA
813,100%,,1.0,2,Entire home/apt,1.0,1.0,1.0,210.0,$50.00,,91,1125,30,42.33709,-71.06873,Boston,02118,MA
814,100%,,15.0,6,Entire home/apt,3.0,1.0,3.0,195.0,$65.00,$150.00,1,1125,294,42.382690000000004,-71.0781,Boston,02129,MA
815,,,1.0,2,Entire home/apt,1.0,1.0,1.0,150.0,$75.00,,91,1125,20,42.329640000000005,-71.05511,Boston,02127,MA
816,100%,,1.0,6,Entire home/apt,3.0,1.0,5.0,125.0,$40.00,$0.00,2,1125,184,42.2609,-71.15774,Boston,02132,MA
817,,,1.0,4,Entire home/apt,1.0,1.0,2.0,140.0,$50.00,$100.00,91,1125,37,42.379129999999996,-71.03983000000001,Boston,02128,MA
818,100%,,2.0,4,Entire home/apt,1.0,1.0,1.0,148.0,$75.00,,1,60,253,42.330290000000005,-71.09382,Boston,02119,MA
819,,,1.0,1,Private room,1.0,1.0,1.0,42.0,$5.00,,91,1125,4,42.33048,-71.10651,Boston,02120,MA
820,100%,,15.0,2,Private room,1.0,1.0,1.0,65.0,$45.00,$0.00,28,1125,15,42.3827,-71.07876999999999,Boston,02129,MA
821,94%,,7.0,3,Entire home/apt,1.0,1.0,1.0,150.0,$100.00,$0.00,3,1125,40,42.346779999999995,-71.08951,Boston,02215,MA
822,92%,,25.0,2,Entire home/apt,0.0,1.0,1.0,259.0,$100.00,$0.00,9,1125,20,42.35645,-71.06103,Boston,02108,MA
823,,,1.0,1,Private room,1.0,0.5,1.0,52.0,,,91,1125,2,42.34339,-71.08832,Boston,02115,MA
824,,,1.0,2,Entire home/apt,0.0,1.0,1.0,120.0,$75.00,$300.00,91,1125,12,42.34646,-71.10416,Boston,02215,MA
825,,,1.0,2,Entire home/apt,1.0,1.0,1.0,135.0,$0.00,$0.00,91,1125,37,42.36914,-71.04094,Boston,02128,MA
826,100%,,3.0,4,Private room,1.0,1.0,3.0,82.0,$50.00,$100.00,3,1125,185,42.366659999999996,-71.05209,Boston,02109,MA
827,100%,,1.0,4,Entire home/apt,1.0,1.0,2.0,199.0,$100.00,$500.00,3,1125,161,42.35998,-71.06479,Boston,02114,MA
